throw_id,t,x_raw,y_raw,z_raw,vel_x_ground_truth,vel_y_ground_truth,vel_z_ground_truth,vel_x_measured,vel_y_measured,vel_z_measured
9,0.3,-0.161881206,0.143784832,0.049000695,-0.585931597,-3.908619421,-4.34325563,-2.459055578,-2.578673552,-2.998282244
10,0,0.086303395,1.151743363,0.889785961,,,,0.152680834,-3.434455969,-1.49024026
10,0.016666667,0.088848075,1.09450243,0.864948624,0.48686967,-3.560079838,-1.923343221,0.152680834,-3.434455969,-1.49024026
10,0.033333333,0.09447446,1.03267514,0.834917367,0.48686967,-3.560079838,-2.008700468,0.337583099,-3.709637394,-1.801875369
10,0.05,0.099069077,0.973232739,0.803807542,0.48686967,-3.560079838,-2.094057715,0.275677016,-3.566544058,-1.866589535
10,0.066666667,0.104943714,0.909316403,0.769862868,0.48686967,-3.560079838,-2.179414962,0.352478238,-3.834980158,-2.036680401
10,0.083333333,0.111870819,0.849630473,0.733783105,0.48686967,-3.560079838,-2.264772209,0.415626287,-3.581155778,-2.16478581
10,0.1,0.116354445,0.787179325,0.696988902,0.48686967,-3.560079838,-2.350129456,0.269017569,-3.747068911,-2.207652163
10,0.116666667,0.122088641,0.727836354,0.656619717,0.48686967,-3.560079838,-2.435486703,0.344051718,-3.56057824,-2.422151096
10,0.133333333,0.133840309,0.669489689,0.614897628,0.48686967,-3.560079838,-2.52084395,0.705100126,-3.500799911,-2.50332535
10,0.15,0.139977579,0.606249336,0.57022924,0.48686967,-3.560079838,-2.606201197,0.3682362,-3.794421199,-2.680103283
10,0.166666667,0.148166236,0.546343874,0.527348094,0.48686967,-3.560079838,-2.691558444,0.491319364,-3.594327717,-2.572868782
10,0.183333333,0.158899107,0.485482231,0.477787632,0.48686967,-3.560079838,-2.776915692,0.643972267,-3.651698552,-2.973627697
10,0.2,0.167708789,0.427663631,0.428061842,0.48686967,-3.560079838,-2.862272939,0.528580939,-3.469116027,-2.983547435
10,0.216666667,0.179459963,0.366500643,0.377991455,0.48686967,-3.560079838,-2.947630186,0.705070415,-3.669779251,-3.004223205
10,0.233333333,0.191211136,0.305337656,0.327921068,0.48686967,-3.560079838,-3.032987433,0.705070415,-3.669779251,-3.004223205
10,0.25,0.200865231,0.247531996,0.272000832,0.48686967,-3.560079838,-3.11834468,0.579245701,-3.468339583,-3.355214167
10,0.266666667,0.210603441,0.187948548,0.219468021,0.48686967,-3.560079838,-3.203701927,0.58429259,-3.575006857,-3.15196866
10,0.283333333,0.223896746,0.13117665,0.164273133,0.48686967,-3.560079838,-3.289059174,0.79759832,-3.406313911,-3.311693257
10,0.3,0.234803289,0.073146917,0.102425078,0.48686967,-3.560079838,-3.374416421,0.654392574,-3.481783996,-3.710883309
10,0.316666667,0.232992005,0.02811793,0.057005072,0.48686967,-3.560079838,-3.459773668,-0.108677044,-2.701739195,-2.725200379
10,0.333333333,0.21803454,-0.004768617,0.03539138,0.48686967,-3.560079838,-3.545130915,-0.897447912,-1.973192825,-1.296821491
11,0,0.076188919,1.549387108,0.853826876,,,,-0.992246102,-5.612404775,-1.532723746
